x,y,id
11.591,48.2,141
11.592,48.2,142
11.593,48.2,143
11.594,48.2,144
11.595,48.2,145
11.596,48.2,146
11.597,48.2,147
11.598,48.2,148
11.599,48.2,149
11.6,48.2,150
11.601,48.2,151
11.602,48.2,152
11.603,48.2,153
11.604,48.2,154
11.605,48.2,155
11.606,48.2,156
11.607,48.2,157
11.608,48.2,158
11.609,48.2,159
11.61,48.2,160
11.611,48.2,161
11.612,48.2,162
11.613,48.2,163
11.614,48.2,164
11.615,48.2,165
11.616,48.2,166
11.617,48.2,167
11.618,48.2,168
11.619,48.2,169
11.62,48.2,170
11.621,48.2,171
11.622,48.2,172
11.623,48.2,173
11.624,48.2,174
11.625,48.2,175
11.626,48.2,176
11.627,48.2,177
11.628,48.2,178
11.629,48.2,179
11.63,48.2,180
11.631,48.2,181
11.632,48.2,182
11.633,48.2,183
11.634,48.2,184
11.635,48.2,185
11.636,48.2,186
11.637,48.2,187
11.638,48.2,188
11.639,48.2,189
11.64,48.2,190
11.641,48.2,191
11.642,48.2,192
11.643,48.2,193
11.644,48.2,194
11.645,48.2,195
11.646,48.2,196
11.647,48.2,197
11.648,48.2,198
11.649,48.2,199
11.65,48.2,200
11.651,48.2,201
11.652,48.2,202
11.653,48.2,203
11.654,48.2,204
11.655,48.2,205
11.656,48.2,206
11.657,48.2,207
11.658,48.2,208
11.659,48.2,209
11.66,48.2,210
11.661,48.2,211
11.662,48.2,212
11.663,48.2,213
11.664,48.2,214
11.665,48.2,215
11.666,48.2,216
11.667,48.2,217
11.668,48.2,218
11.669,48.2,219
11.67,48.2,220
11.671,48.2,221
11.672,48.2,222
11.673,48.2,223
11.674,48.2,224
11.675,48.2,225
11.676,48.2,226
11.677,48.2,227
11.678,48.2,228
11.679,48.2,229
11.68,48.2,230
11.681,48.2,231
11.682,48.2,232
11.683,48.2,233
11.684,48.2,234
11.685,48.2,235
11.686,48.2,236
11.687,48.2,237
11.688,48.2,238
11.689,48.2,239
11.69,48.2,240
11.691,48.2,241
11.692,48.2,242
11.693,48.2,243
11.694,48.2,244
11.695,48.2,245
11.696,48.2,246
11.697,48.2,247
11.698,48.2,248
11.699,48.2,249
11.7,48.2,250
11.45,48.199,251
11.451,48.199,252
11.452,48.199,253
11.453,48.199,254
11.454,48.199,255
11.455,48.199,256
11.456,48.199,257
11.457,48.199,258
11.458,48.199,259
11.459,48.199,260
11.46,48.199,261
11.461,48.199,262
11.462,48.199,263
11.463,48.199,264
11.464,48.199,265
11.465,48.199,266
11.466,48.199,267
11.467,48.199,268
11.468,48.199,269
11.469,48.199,270
11.47,48.199,271
11.471,48.199,272
11.472,48.199,273
11.473,48.199,274
11.474,48.199,275
11.475,48.199,276
11.476,48.199,277
11.477,48.199,278
11.478,48.199,279
11.479,48.199,280
11.48,48.199,281
11.481,48.199,282
11.482,48.199,283
11.483,48.199,284
11.484,48.199,285
11.485,48.199,286
11.486,48.199,287
11.487,48.199,288
11.488,48.199,289
11.489,48.199,290
11.49,48.199,291
11.491,48.199,292
11.492,48.199,293
11.493,48.199,294
11.494,48.199,295
11.495,48.199,296
11.496,48.199,297
11.497,48.199,298
11.498,48.199,299
11.499,48.199,300
11.5,48.199,301
11.501,48.199,302
11.502,48.199,303
11.503,48.199,304
11.504,48.199,305
11.505,48.199,306
11.506,48.199,307
11.507,48.199,308
11.508,48.199,309
